Transitions EW EWsig Vmin Vmax N Nsig Vel
"FeIII 1122" 324.27 1957.88 -102.87 200.0 14.73 15.52 -1.82
"PV 1128" 173.23 4859.25 -69.91 309.13 14.16 15.48 39.29
"HI 1215" 938.29 2393.78 -350.07 317.37 14.51 14.92 -47.66
"NV 1238" 583.61 2722.0 -234.71 506.9 14.55 15.22 42.81
"NV 1242" 37.86 2374.19 -168.79 259.69 13.82 15.36 257.79
"CII 1334" -633.04 3405.32 -275.91 210.25 nan 15.12 200.71
"CIV 1548" 1502.69 3262.38 -1001.04 243.21 14.66 15.03 -325.55
"CIV 1550" 272.28 2427.33 -267.67 292.65 14.19 15.12 20.71
"FeII 1608" 130.22 2210.66 -168.79 200.0 14.02 15.25 35.34
