Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 3908.53 713.36 -1010.46 883.12 15.07 14.62 -61.87
"SiII 1260" 2070.64 285.29 -409.17 919.66 14.33 13.66 124.99
"OI 1302" 687.35 242.65 -96.89 321.69 15.14 14.82 32.09
"SiII 1304" 704.3 329.81 -259.67 278.5 14.84 14.58 19.16
"CII 1334" 865.99 158.49 -163.33 248.6 14.81 14.27 8.2
"SiIV 1393" 271.67 162.56 -259.67 152.26 13.54 13.34 -33.78
"SiIV 1402" 187.08 177.42 -229.77 235.32 13.71 13.66 67.6
"SiII 1526" 628.57 144.35 -286.25 205.42 14.56 14.01 -11.42
"CIV 1548" 710.42 137.59 -226.45 200.0 14.38 13.77 -7.54
"CIV 1550" 255.13 101.73 -183.27 95.79 14.15 13.8 -47.99
"FeII 1608" 354.41 93.57 -76.96 200.0 14.51 14.0 16.68
"AlII 1670" 532.53 116.38 -93.57 165.55 13.23 12.73 -7.25
