Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 3444.48 1005.01 -1009.28 1026.02 14.96 14.65 -14.65
"SiII 1260" 1320.62 232.72 -415.99 383.3 14.22 13.72 -17.93
"OI 1302" 1866.82 280.51 -193.51 828.26 15.56 14.9 224.76
"SiII 1304" 1514.29 311.4 -671.44 309.13 15.17 14.61 -287.63
"CII 1334" 618.7 148.96 -160.55 177.29 14.77 14.47 -28.95
"SiIV 1393" 1378.33 200.03 -102.87 721.14 14.34 13.64 265.9
"SiIV 1402" 353.45 170.78 -160.55 375.06 13.96 13.66 68.9
"SiII 1526" 704.87 130.29 -267.67 276.17 14.58 13.92 -18.41
"CIV 1548" 780.33 121.84 -325.35 185.53 14.42 13.72 -59.86
"CIV 1550" 159.94 97.3 -177.03 169.05 13.95 13.74 -51.55
"FeII 1608" 625.49 118.69 -300.63 202.01 14.79 14.13 -8.6
"AlII 1670" 879.28 166.85 -160.55 366.81 13.49 12.95 -3.49
