Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 5002.12 771.25 -1124.64 1091.94 15.22 14.74 -49.99
"SiII 1260" 1282.72 175.14 -317.11 416.26 14.19 13.57 24.56
"OI 1302" 828.08 168.37 -102.87 325.61 15.23 14.73 34.68
"SiII 1304" 589.39 213.67 -160.55 416.26 14.71 14.32 12.07
"CII 1334" 895.33 137.07 -267.67 251.45 14.88 14.33 -19.42
"SiIV 1393" 248.2 108.03 -193.51 127.85 13.51 13.18 -60.0
"SiIV 1402" 89.34 122.38 -152.31 202.01 13.33 13.47 -13.56
"SiII 1526" 724.06 97.47 -259.43 193.77 14.63 13.87 -17.9
"CIV 1548" 578.06 106.03 -259.43 200.0 14.26 13.57 -50.88
"CIV 1550" 259.08 86.29 -209.99 103.13 14.16 13.72 -48.86
"FeII 1608" 484.76 98.51 -200.0 234.97 14.68 14.04 -4.31
"AlII 1670" 2456.01 203.94 -201.75 1141.38 13.85 12.87 473.21
