Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1193" 379.71 416.42 -152.31 177.29 13.95 14.12 -49.03
"NI 1200" 888.16 327.37 -366.55 333.85 15.31 14.98 -121.19
"HI 1215" 2951.62 1075.33 -531.35 1001.3 14.93 14.74 141.73
"NV 1238" 394.98 413.08 -292.39 300.89 14.34 14.39 -87.3
"NV 1242" 415.67 339.48 -251.19 127.85 14.8 14.82 -99.5
"SiII 1260" 1150.55 264.2 -407.75 333.85 14.11 13.65 34.87
"OI 1302" 1586.83 368.3 -119.35 836.5 15.49 14.99 302.4
"SiII 1304" 1522.09 389.68 -589.04 391.54 15.17 14.7 -174.51
"CII 1334" 586.54 215.66 -160.55 267.93 14.6 14.25 1.75
"SiIV 1393" 1597.21 276.44 -200.0 894.18 14.38 13.71 288.35
"SiIV 1402" 1084.37 292.19 -671.44 515.14 14.47 13.95 -152.67
"SiII 1526" 682.04 129.05 -135.83 276.17 14.62 14.0 3.19
"CIV 1548" 811.07 138.81 -259.43 200.0 14.45 13.79 -28.46
"CIV 1550" 377.02 122.85 -200.0 127.85 14.35 13.9 -59.96
"FeII 1608" 622.76 146.28 -160.55 325.61 14.79 14.22 12.76
"AlII 1670" 221.91 189.01 -135.83 259.69 12.86 12.72 28.83
