Transitions EW EWsig Vmin Vmax N Nsig Vel
"PV 1128" 1019.22 3388.13 -259.43 688.18 14.69 15.26 94.44
"SiII 1193" 464.99 2864.35 -234.71 375.06 13.94 14.76 6.87
"NI 1200" 392.8 2509.82 -226.47 193.77 14.96 15.8 6.85
