Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiIII 1206" 980.59 0.17 -218.23 226.73 14.43 13.32 18.38
"HI 1215" 6724.49 0.33 -1272.96 1355.63 15.69 14.18 35.24
"NV 1238" 200.16 0.14 -267.67 144.33 14.1 10.9 -134.49
"NV 1242" 564.41 0.08 -193.51 193.77 14.89 11.15 -66.97
"SiII 1260" 1261.03 0.06 -292.39 342.09 14.18 10.11 11.92
"OI 1302" 281.67 0.06 -119.35 127.85 14.8 11.16 -5.74
"SiII 1304" 1588.93 0.08 -605.52 200.0 15.25 11.15 -224.63
"CII 1334" 800.48 0.04 -300.63 202.01 14.8 10.68 -47.85
"SiIV 1393" 1541.57 0.04 -200.0 655.22 14.43 10.18 289.94
"SiIV 1402" 69.73 0.04 -119.35 325.61 13.34 9.94 100.54
"SiII 1526" 580.44 0.02 -218.23 267.93 14.49 10.1 -18.45
"CIV 1548" 461.1 0.02 -234.71 200.0 14.19 9.89 -31.83
"CIV 1550" 214.27 0.02 -275.91 193.77 14.07 10.11 -32.13
"FeII 1608" 476.45 0.02 -144.07 210.25 14.7 10.34 1.1
"AlII 1670" 707.38 0.02 -111.11 243.21 13.38 8.99 13.3
