Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1220.55 170.41 -407.75 333.85 14.58 13.97 -55.74
"SiII 1260" 414.56 197.84 -226.47 200.0 13.64 13.37 -52.68
"OI 1302" 851.2 142.95 -53.43 408.02 15.26 14.73 117.18
"SiII 1304" -146.88 81.86 -69.91 61.93 nan 13.67 -20.79
"CII 1334" -35.16 50.21 -53.43 45.45 nan 13.35 14.58
"SiIV 1393" 115.91 119.42 -53.43 127.85 13.15 13.19 3.46
"SiIV 1402" 172.9 221.69 -61.67 267.93 13.86 13.85 123.97
"SiII 1526" 67.84 79.4 -200.0 136.09 13.47 13.54 -119.63
"CIV 1548" 1761.44 164.45 -1050.48 200.0 14.74 13.78 -324.65
"CIV 1550" 251.13 105.98 -200.0 200.0 14.26 13.84 37.6
"FeII 1608" 66.84 105.26 -200.0 200.0 13.71 13.91 72.13
