Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1190" 2297.98 593.18 -877.44 490.42 15.05 14.67 -197.79
"SiII 1193" 908.63 424.86 -168.79 309.13 14.4 14.29 -11.94
"SiIII 1206" 1605.93 558.1 -696.16 317.37 14.08 13.86 -254.11
"HI 1215" 2775.24 834.3 -646.72 861.22 14.91 14.61 -8.15
"NV 1238" 855.0 567.29 -448.95 284.41 14.72 14.62 -101.42
"NV 1242" 482.2 294.93 -201.75 94.89 14.84 14.77 -66.23
"SiII 1260" 1001.02 268.17 -275.91 399.78 14.03 13.61 25.15
"OI 1302" 1545.82 356.82 -102.87 844.74 15.5 14.99 323.94
"SiII 1304" 1588.8 343.09 -613.76 267.93 15.23 14.7 -183.08
"CII 1334" 797.97 183.76 -168.79 243.21 14.77 14.28 9.72
"SiIV 1393" 1704.21 238.29 -440.71 828.26 14.41 13.65 312.68
"SiIV 1402" 344.12 154.73 -200.0 200.0 13.95 13.64 29.55
"SiII 1526" 677.32 130.73 -259.43 210.25 14.6 14.0 -14.34
"CIV 1548" 634.31 154.91 -242.95 193.77 14.33 13.79 -6.36
"CIV 1550" 302.13 139.26 -234.71 251.45 14.23 13.9 -49.56
"FeII 1608" 490.41 141.55 -251.19 325.61 14.65 14.13 21.5
"AlII 1670" 554.74 152.97 -177.03 218.49 13.24 12.76 -8.93
