Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 2107.24 209.04 -770.32 234.97 14.81 14.07 -219.9
"SiII 1260" -28.03 47.1 -12.23 28.97 nan 12.48 20.39
"OI 1302" 524.02 159.36 -242.95 317.37 14.93 14.45 65.94
"SiII 1304" 1228.31 175.74 -61.67 449.22 15.26 14.8 126.45
"CII 1334" -7.0 94.21 -135.83 94.89 nan 13.67 78.65
"SiIV 1393" 295.06 104.11 -251.19 234.97 13.56 13.14 -74.38
"SiIV 1402" 211.33 109.21 -168.79 276.17 13.71 13.44 110.14
"SiII 1526" 2185.1 203.95 -1322.4 597.54 15.07 14.09 -463.95
"CIV 1548" 1085.19 83.76 -200.0 200.0 14.59 13.66 -53.16
"CIV 1550" 793.97 87.22 -200.0 200.0 14.72 13.87 -52.69
"FeII 1608" -97.35 97.57 -200.0 200.0 nan 13.84 -161.17
