Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1919.85 214.76 -712.64 200.0 14.75 14.05 -213.11
"SiII 1260" -62.73 68.53 -53.43 37.21 nan 12.64 -50.65
"OI 1302" 376.96 159.05 -226.47 243.21 14.76 14.43 28.38
"SiII 1304" 1276.34 162.66 -102.87 440.98 15.24 14.68 132.54
"CII 1334" 18.88 115.29 -218.23 86.65 13.02 13.76 78.65
"SiIV 1393" 1160.7 87.37 -547.83 226.73 14.22 13.18 -177.69
"SiIV 1402" 104.47 104.73 -308.87 70.17 13.4 13.4 -273.33
"SiII 1526" 2058.19 195.15 -1272.96 473.94 15.04 14.07 -517.38
"CIV 1548" 2234.33 154.27 -457.19 721.14 14.88 13.84 44.46
"CIV 1550" 2215.76 158.97 -976.32 200.0 15.18 14.15 -450.67
"FeII 1608" -83.92 93.72 -226.47 86.65 nan 13.83 61.51
