Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1381.47 158.6 -465.43 300.89 14.65 14.03 -64.24
"SiII 1260" 506.67 167.5 -218.23 218.49 13.69 13.29 -67.23
"OI 1302" 1594.13 196.77 -613.76 482.18 15.49 14.75 55.81
"SiII 1304" -111.94 64.55 -36.95 37.21 nan 13.52 -20.79
"CII 1334" -14.01 49.35 -45.19 45.45 nan 13.37 14.58
"SiIV 1393" 161.02 145.51 -200.0 200.0 13.41 13.3 114.19
"SiIV 1402" 588.97 134.74 -45.19 251.45 14.26 13.79 84.72
"SiII 1526" 11.63 49.07 -45.19 45.45 12.69 13.32 -39.22
"CIV 1548" 1758.15 158.47 -1025.76 200.0 14.74 13.77 -307.26
"CIV 1550" 608.92 99.75 -127.59 342.09 14.6 13.88 45.64
"FeII 1608" -58.68 73.31 -78.15 78.41 nan 13.71 -73.33
