Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 5452.84 744.11 -1256.48 1157.86 15.23 14.67 57.41
"SiII 1260" 1381.49 159.59 -333.59 399.78 14.24 13.63 22.58
"OI 1302" 1571.07 259.5 -94.63 927.14 15.47 14.81 304.64
"SiII 1304" 277.12 200.96 -94.63 193.77 14.42 14.33 14.27
"CII 1334" 725.04 119.66 -152.31 243.21 14.77 14.21 -13.57
"SiIV 1393" 330.33 113.7 -218.23 160.81 13.63 13.21 -64.3
"SiIV 1402" 205.81 118.52 -144.07 284.41 13.7 13.48 15.37
"SiII 1526" 700.89 106.88 -284.15 243.21 14.61 13.86 -13.4
"CIV 1548" 470.55 105.84 -267.67 185.53 14.17 13.57 -24.15
"CIV 1550" 285.84 103.65 -259.43 202.01 14.2 13.77 -49.01
"FeII 1608" 634.9 96.77 -111.11 292.65 14.8 14.07 15.23
"AlII 1670" 574.64 108.33 -69.91 202.01 13.28 12.7 4.43
