Transitions EW EWsig Vmin Vmax N Nsig Vel
"FeIII 1122" 199.32 2643.81 -119.35 200.0 14.41 15.56 -1.27
"FeII 1144" 153.53 3560.0 -200.0 200.0 14.22 15.52 -72.78
"NI 1200" 818.07 4263.82 -333.59 473.94 15.25 16.02 24.61
"SiIII 1206" 208.32 2375.75 -200.0 200.0 13.04 14.11 -76.43
"HI 1215" 1141.06 3014.21 -457.19 317.37 14.51 14.95 -51.32
"NV 1238" 516.55 2363.57 -168.79 202.01 14.53 15.25 -7.76
"NV 1242" 83.62 2946.62 -177.03 185.53 14.0 15.47 -43.03
"SiII 1260" 579.2 2903.71 -259.43 169.05 13.74 14.5 -66.97
"CIV 1548" 2377.12 4755.59 -1009.28 251.45 14.91 15.28 -317.16
"CIV 1550" 543.55 2921.44 -168.79 267.93 14.57 15.31 22.74
