Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 3479.35 986.71 -646.72 1124.9 15.02 14.75 142.63
"SiII 1260" 1244.44 251.43 -407.75 325.61 14.14 13.65 27.95
"OI 1302" 1027.06 450.27 -36.95 836.5 15.27 14.98 371.59
"SiII 1304" 1734.59 375.42 -613.76 408.02 15.25 14.71 -124.18
"CII 1334" 753.47 196.48 -168.79 325.61 14.73 14.26 18.05
"SiIV 1393" 1224.93 306.42 -201.75 844.74 14.25 13.71 292.52
"SiIV 1402" 208.65 205.82 -200.0 292.65 13.7 13.71 53.25
"SiII 1526" 691.7 130.0 -168.79 218.49 14.62 14.0 5.6
"CIV 1548" 731.43 136.46 -234.71 200.0 14.4 13.78 -25.76
"CIV 1550" 304.21 138.95 -201.75 210.25 14.25 13.92 -57.99
"FeII 1608" 575.21 121.11 -144.07 259.69 14.76 14.18 5.47
"AlII 1670" 629.95 138.89 -144.07 234.97 13.26 12.71 19.28
