Transitions EW EWsig Vmin Vmax N Nsig Vel
"NI 1200" -123.9 2479.0 -78.15 193.77 nan 15.61 -48.22
"SiIII 1206" 189.27 2435.15 -168.79 234.97 13.26 14.22 -113.52
"NV 1238" 513.69 2647.98 -200.0 185.53 14.5 15.28 -34.82
"SiII 1260" 1161.27 2042.52 -242.95 391.54 14.17 14.51 56.31
"OI 1302" 999.61 2793.51 -102.87 581.06 15.25 15.76 206.4
"CII 1334" 273.95 2456.35 -177.03 218.49 14.27 15.17 -9.43
"SiIV 1393" 412.02 2070.42 -160.55 226.73 13.75 14.5 13.64
"SiII 1526" 411.2 2322.59 -144.07 391.54 14.3 15.07 16.18
"CIV 1548" 674.88 2179.83 -200.0 276.17 14.34 14.88 -10.11
"CIV 1550" 628.32 2327.7 -234.71 333.85 14.58 15.18 6.26
"FeII 1608" 216.23 2435.37 -259.43 259.69 14.28 15.3 28.15
"AlII 1670" 182.12 2099.06 -127.59 200.0 12.67 13.71 39.89
