Transitions EW EWsig Vmin Vmax N Nsig Vel
"DI 1215" 2757.35 3650.76 -844.48 787.06 14.96 15.2 -168.73
"HI 1215" 2587.26 3810.36 -918.64 679.94 14.93 15.2 -258.19
"SiII* 1264" 221.56 2178.49 -391.27 292.65 13.29 14.27 -1.04
"NV 1242" 1228.37 2087.98 -432.47 399.78 15.3 15.56 23.95
"OI 1302" 1122.65 2195.22 -638.48 193.77 15.33 15.68 -156.27
"SiII 1304" 360.42 2349.26 -317.11 350.33 14.48 15.28 70.1
"SiII 1526" 555.52 1625.06 -200.0 200.0 14.47 15.0 -49.49
"CIV 1548" -363.45 2407.17 -200.0 200.0 nan 14.71 -171.56
"CIV 1550" 102.0 2003.82 -200.0 200.0 13.72 15.02 21.08
