Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 2151.76 284.04 -781.24 248.6 14.8 14.17 -223.91
"SiII 1260" -55.42 90.21 -90.25 49.28 nan 12.77 -50.65
"OI 1302" 291.89 211.64 -156.69 311.72 14.65 14.54 107.61
"SiII 1304" 1415.02 217.15 -169.98 484.47 15.25 14.76 139.84
"CII 1334" -21.6 63.1 -17.16 22.7 nan 13.47 11.55
"SiIV 1393" 100.26 134.06 -73.64 202.1 13.08 13.21 4.7
"SiIV 1402" 77.76 100.94 -80.28 172.2 13.26 13.4 -4.6
"SiII 1526" -77.97 46.79 -30.45 12.74 nan 13.19 -12.35
"CIV 1548" 3172.23 201.86 -472.29 813.36 15.1 14.15 98.74
"CIV 1550" 3199.61 210.45 -953.99 457.89 15.4 14.45 -383.25
"FeII 1608" 73.83 109.81 -259.67 95.79 13.77 13.93 -207.12
