Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1023.88 255.59 -506.63 234.97 14.48 14.05 -36.42
"SiII 1260" 678.79 210.96 -152.31 193.77 13.87 13.55 -16.47
"OI 1302" 556.59 180.3 -200.0 200.0 15.08 14.79 49.96
"SiII 1304" 98.16 128.5 -152.31 53.69 13.91 14.02 -76.7
"CII 1334" 290.07 170.94 -308.87 144.33 14.27 14.06 -220.4
"SiIV 1393" 126.13 191.97 -86.39 127.85 13.23 13.4 -7.66
"SiIV 1402" -58.27 124.6 -53.43 45.45 nan 13.37 8.87
"SiII 1526" 71.55 117.21 -135.83 200.0 13.5 13.71 -68.94
"CIV 1548" 1807.12 218.12 -918.64 259.69 14.75 13.91 -248.22
"CIV 1550" 397.36 120.98 -78.15 218.49 14.42 13.97 34.08
"FeII 1608" 42.79 107.58 -86.39 111.37 13.53 13.92 11.2
