Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiIII 1206" 59.02 1770.71 -218.23 202.01 12.5 13.93 -35.11
"DI 1215" 1268.79 1855.94 -407.75 408.02 14.6 14.83 0.55
"HI 1215" 1301.41 1673.17 -473.67 300.89 14.61 14.82 -80.12
"NV 1238" 408.63 1706.05 -209.99 267.93 14.42 15.04 9.13
"NV 1242" 59.5 1970.96 -201.75 210.25 13.9 15.29 8.85
"SiII 1260" 378.52 1819.85 -226.47 152.57 13.57 14.26 -44.85
"CIV 1548" 2056.17 3037.76 -1066.96 200.0 14.82 15.05 -313.72
"CIV 1550" 679.79 2422.55 -218.23 457.46 14.65 15.19 40.65
