Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1190" 721846.83 2689921.68 -333.59 267.93 14.51 15.11 -66.19
"SiII 1193" 167681.49 2386899.32 -218.23 226.73 13.7 14.67 38.95
"SiIII 1206" 850234.45 2109197.5 -226.47 317.37 13.8 14.27 0.76
"NV 1238" 514385.58 1847790.17 -209.99 144.33 14.51 15.18 -57.34
"NV 1242" -107669.15 2751257.63 -267.67 177.29 13.61 15.42 114.57
"OI 1302" -144035.71 2861260.15 -200.0 200.0 13.86 15.61 -165.8
"SiII 1304" 61338.0 2629090.15 -111.11 200.0 13.97 15.31 70.3
"SiII 1526" 682285.0 1750485.32 -160.55 243.21 14.63 15.07 17.7
"CIV 1548" 479539.42 2264967.06 -234.71 267.93 14.18 14.84 -7.77
"CIV 1550" 291284.84 1970822.0 -200.0 200.0 14.21 15.05 -15.39
"FeII 1608" 654196.33 2118674.3 -200.0 276.17 14.82 15.34 38.44
