Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" -1463.33 3995.22 -166.87 138.24 nan 15.28 -92.55
"NV 1238" 349.8 4999.23 -292.5 251.91 14.38 15.46 18.38
"NV 1242" 620.25 2709.38 -262.59 251.91 14.92 15.61 -68.81
"SiII 1304" 545.4 3638.45 -83.12 419.42 14.74 15.57 27.78
"CII 1334" 672.39 2988.91 -226.7 341.64 14.69 15.34 50.08
"SiIV 1393" 155.73 2587.18 -113.03 156.18 13.29 14.53 -33.28
"SiIV 1402" 32.14 2855.33 -77.13 200.0 12.94 14.82 185.48
"SiII 1526" 664.43 3234.86 -172.85 371.56 14.59 15.28 38.51
"CIV 1548" 531.66 3164.15 -214.73 269.85 14.21 15.01 12.27
"CIV 1550" 299.17 3217.67 -190.8 281.82 14.24 15.26 13.9
"FeII 1608" 663.73 3770.06 -190.8 455.31 14.86 15.57 38.71
"AlII 1670" 611.8 3571.78 -154.91 263.87 13.29 14.05 43.07
