Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 2090.58 314.98 -828.0 284.41 14.78 14.15 -219.46
"SiII 1260" -420.64 165.04 -200.0 144.33 nan 12.96 -192.74
"OI 1302" 108.21 137.44 -94.63 111.37 14.22 14.34 -20.9
"SiII 1304" 1244.88 276.74 -135.83 646.98 15.18 14.71 167.52
"CII 1334" 61.34 102.94 -111.11 70.17 13.51 13.76 -55.55
"SiIV 1393" 223.99 144.9 -144.07 210.25 13.47 13.29 -27.99
"SiIV 1402" 381.99 205.41 -432.47 284.41 13.97 13.72 -53.88
"SiII 1526" 2129.11 253.64 -1075.2 473.94 15.06 14.2 -416.18
"CIV 1548" 2457.34 209.98 -407.75 745.86 14.95 14.06 40.17
"CIV 1550" 2525.65 211.86 -910.4 309.13 15.27 14.37 -453.97
"FeII 1608" 179.74 132.42 -209.99 259.69 14.16 14.03 125.88
