Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 863.7 250.66 -262.99 308.4 14.38 14.01 -48.51
"SiII 1260" 972.37 163.4 -223.13 200.0 14.06 13.58 -69.0
"OI 1302" 831.55 181.34 -50.38 408.06 15.34 15.07 128.81
"SiII 1304" -122.58 127.34 -23.81 178.84 nan 13.9 -20.79
"CII 1334" -38.49 65.02 -30.45 19.38 nan 13.46 14.58
"SiIV 1393" 83.25 154.32 -53.7 122.37 13.02 13.29 -8.33
"SiIV 1402" 471.65 285.39 -47.06 265.21 14.17 14.09 48.44
"SiII 1526" 99.13 88.12 -93.57 188.81 13.64 13.6 32.38
"CIV 1548" 1953.88 199.33 -1073.58 200.0 14.79 13.89 -355.4
"CIV 1550" 339.66 90.44 -43.74 218.71 14.31 13.81 47.15
"FeII 1608" 43.58 83.85 29.35 200.0 13.53 13.82 93.02
