Transitions EW EWsig Vmin Vmax N Nsig Vel
"SIV 1062" -36.13 3414.58 -200.0 152.57 14.29 15.95 -191.49
"NII 1083" 37.28 2312.83 -275.91 200.0 13.68 15.35 -123.4
"PV 1117" 1169.4 3336.0 -679.68 358.57 14.5 14.99 -1.28
"SiII 1260" 1000.41 3649.95 -795.04 200.0 14.1 14.61 -371.35
"OI 1302" -116.69 2972.74 -127.59 366.81 nan 15.59 -126.73
"SiII 1304" 276.08 2092.73 -160.55 193.77 14.36 15.25 -16.83
"SiIV 1402" 17.57 1996.96 -135.83 200.0 12.64 14.66 17.23
"CIV 1550" 135.23 2080.51 -168.79 218.49 13.85 15.04 44.59
