Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" -3033.39 6658.51 -564.31 218.49 nan 15.37 217.61
"NV 1238" 711.0 3954.9 -267.67 325.61 14.69 15.46 -27.83
"NV 1242" 659.56 3100.64 -275.91 259.69 14.98 15.66 -71.52
"OI 1302" 987.41 3200.95 -152.31 440.98 15.31 15.9 65.5
"SiII 1304" 442.37 2415.01 -86.39 210.25 14.69 15.48 30.79
"CII 1334" 635.87 2972.31 -160.55 276.17 14.7 15.37 10.48
"SiIV 1393" 241.92 3093.14 -234.71 218.49 13.48 14.61 -44.24
"SiII 1526" 673.86 3129.29 -251.19 234.97 14.63 15.3 23.01
"CIV 1548" 627.15 3141.19 -209.99 276.17 14.3 15.03 9.97
"CIV 1550" 220.35 3721.59 -242.95 267.93 14.09 15.3 1.65
"FeII 1608" 495.59 3114.69 -160.55 267.93 14.71 15.5 40.97
"AlII 1670" 705.17 3674.68 -152.31 251.45 13.33 14.08 18.46
