Transitions EW EWsig Vmin Vmax N Nsig Vel
"FeIII 1122" 448.55 2560.8 -135.83 284.41 14.84 15.64 12.73
"FeII 1144" -245.43 4021.91 -193.51 193.77 nan 15.46 -130.95
"HI 1215" 1005.04 2499.29 -366.55 342.09 14.47 14.91 -75.65
"NV 1238" 427.87 2510.55 -168.79 276.17 14.48 15.23 9.86
"NV 1242" 205.55 2237.03 -177.03 177.29 14.35 15.41 -2.41
"SiII 1260" 411.36 2466.94 -185.27 169.05 13.57 14.44 -43.05
"CIV 1548" 668.81 4333.29 -432.47 243.21 14.29 15.13 -96.47
"CIV 1550" 849.95 3782.55 -275.91 449.22 14.79 15.4 65.2
