Transitions EW EWsig Vmin Vmax N Nsig Vel
"PV 1128" 1171.83 3390.75 -333.59 696.42 14.75 15.28 72.89
"SiII 1193" 418.6 2865.0 -168.79 366.81 13.91 14.75 -10.6
"NI 1200" 2737.14 3402.28 -753.84 852.98 15.87 16.08 167.53
"HI 1215" 12.53 2512.37 -135.83 234.97 12.5 14.67 225.21
