Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiIII 1206" 973.79 1888.3 -226.47 292.65 13.9 14.34 -12.38
"NV 1238" 751.5 3733.54 -242.95 704.66 14.65 15.35 47.57
"NV 1242" 637.3 2683.16 -275.91 350.33 15.0 15.56 -52.21
"SiII 1304" 251.72 2517.25 -121.25 212.08 14.32 15.33 16.71
"CII 1334" 748.05 2187.17 -159.5 343.22 14.77 15.25 35.18
"SiIV 1393" 424.34 1892.79 -197.75 173.83 13.76 14.45 -3.37
"SiIV 1402" 172.69 2772.65 -159.5 430.65 13.65 14.83 102.68
"SiII 1526" 702.63 2126.13 -137.64 408.79 14.63 15.11 28.57
"CIV 1548" 728.59 2145.28 -236.0 304.97 14.39 14.88 -4.83
"CIV 1550" 275.42 2263.39 -181.35 277.65 14.2 15.1 10.18
"FeII 1608" 644.05 1972.76 -181.35 321.36 14.8 15.31 23.19
"AlII 1670" 661.71 2284.3 -159.5 250.33 13.33 13.87 22.7
