Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 832.46 230.76 -206.52 222.03 14.38 14.03 -52.22
"SiII 1260" 300.67 234.14 -193.23 195.45 13.4 13.32 -6.28
"OI 1302" 1425.1 305.02 -688.22 411.39 15.41 14.84 -4.85
"SiII 1304" -74.94 97.25 -23.81 12.74 nan 13.74 -20.79
"CII 1334" 14.69 81.67 -40.42 52.6 12.87 13.63 14.58
"SiIV 1393" 680.28 193.17 -57.03 388.13 14.01 13.55 111.35
"SiIV 1402" 216.54 185.19 -53.7 261.89 13.74 13.71 27.65
"SiII 1526" 136.98 95.35 -269.64 32.67 13.79 13.64 -133.83
"CIV 1548" 1113.38 169.65 -744.7 145.62 14.53 13.77 -241.91
"CIV 1550" 256.72 90.16 -106.86 222.03 14.15 13.73 52.08
"FeII 1608" -6.24 43.59 -30.45 26.03 nan 13.5 -16.83
