Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiIII 1206" 715.51 3495.78 -300.63 193.77 13.73 14.45 -95.49
"HI 1215" 2767.32 5470.39 -860.96 679.94 14.99 15.42 -311.62
"NV 1242" 848.38 1454.11 -200.0 200.0 15.11 15.53 28.41
"SiII* 1264" 255.86 3099.22 -325.35 226.73 13.34 14.44 -89.64
"OI 1302" 1136.48 3433.39 -514.87 200.0 15.34 15.9 -155.21
"SiII 1304" 313.18 2591.59 -94.63 325.61 14.41 15.37 47.3
"SiII 1526" 564.15 2655.62 -200.0 200.0 14.49 15.22 -57.41
"AlII 1670" 81.38 2947.01 -119.35 169.05 12.27 13.84 -8.89
