Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 2088.88 293.32 -866.83 251.91 14.8 14.2 -234.58
"SiII 1260" -134.19 111.87 -29.27 216.01 nan 12.84 20.39
"OI 1302" 376.26 190.17 -304.47 221.99 14.76 14.5 -56.04
"SiII 1304" 1273.01 224.77 -130.98 419.42 15.22 14.76 90.86
"CII 1334" -12.65 55.61 -17.31 36.53 nan 13.42 11.55
"SiIV 1393" 161.59 94.17 -130.98 66.45 13.34 13.14 -70.7
"SiIV 1402" 428.02 157.09 -448.05 114.31 14.05 13.64 -286.43
"SiII 1526" 540.4 122.58 -47.22 473.26 14.47 13.86 250.33
"CIV 1548" 1788.84 179.57 -430.1 640.77 14.75 13.84 31.97
"CIV 1550" 1956.6 177.06 -1022.37 180.11 15.1 14.15 -464.71
"FeII 1608" -20.99 41.66 -11.33 6.62 nan 13.46 5.84
