Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1540.74 850.77 -545.37 424.67 14.64 14.68 -149.26
"SiII 1260" 839.8 244.66 -146.72 295.11 13.96 13.63 25.92
"OI 1302" 456.75 286.02 -189.91 251.93 14.91 14.76 84.23
"SiII 1304" 362.42 258.98 -189.91 112.4 14.5 14.43 -104.15
"CII 1334" 676.98 191.4 -153.37 218.71 14.78 14.5 -3.97
"SiIV 1393" 1345.61 294.36 -193.23 690.44 14.3 13.73 224.15
"SiIV 1402" 245.01 155.78 -103.54 218.71 13.83 13.64 11.2
"SiII 1526" 406.84 114.38 -156.69 245.28 14.31 13.81 -14.62
"CIV 1548" 452.71 105.3 -166.65 132.33 14.15 13.6 -41.75
"CIV 1550" 338.44 110.74 -116.82 215.38 14.28 13.85 22.8
"FeII 1608" 145.96 91.3 -70.31 198.77 14.06 13.89 40.31
"AlII 1670" 285.54 93.91 -86.93 162.23 12.87 12.44 2.44
