Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1190" 2141.91 468.89 -918.64 465.7 14.97 14.45 -210.65
"SiII 1193" 1742.73 340.95 -242.95 869.46 14.59 14.0 300.33
"NI 1200" 865.72 247.68 -580.79 152.57 15.29 14.83 -222.84
"SiIII 1206" 921.95 337.14 -251.19 226.73 13.91 13.78 -14.65
"NV 1242" 637.83 191.45 -242.95 193.77 14.93 14.53 -70.59
"SiII 1260" 1393.72 184.13 -424.23 408.02 14.24 13.63 13.64
"OI 1302" 1250.52 257.97 -94.63 704.66 15.36 14.79 242.58
"SiII 1304" 1503.53 255.76 -589.04 391.54 15.16 14.52 -206.83
"CII 1334" 676.39 135.22 -218.23 243.21 14.74 14.22 -11.88
"SiIV 1393" 72.09 147.39 -325.35 160.81 13.03 13.25 -57.77
"SiIV 1402" 230.52 116.79 -135.83 309.13 13.75 13.48 19.82
"SiII 1526" 673.02 102.09 -259.43 234.97 14.6 13.85 -12.95
"CIV 1548" 486.85 104.97 -292.39 177.29 14.18 13.57 -26.74
"CIV 1550" 165.01 114.45 -317.11 202.01 13.98 13.79 -21.55
"FeII 1608" 657.32 108.78 -168.79 333.85 14.82 14.09 16.21
"AlII 1670" 530.27 120.79 -102.87 210.25 13.25 12.71 3.77
