Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1176.99 291.45 -342.72 265.21 14.52 14.11 -84.62
"SiII 1260" 25.55 121.67 -37.09 218.71 12.27 12.95 61.4
"OI 1302" 433.69 195.51 -37.09 288.47 14.9 14.64 123.8
"SiII 1304" 1166.83 252.65 -179.94 398.1 15.15 14.75 132.66
"CII 1334" 57.0 115.71 -183.27 12.74 13.47 13.79 -117.61
"SiIV 1393" 33.46 96.41 -57.03 115.72 12.59 13.06 0.09
"SiIV 1402" 666.0 177.55 -382.59 354.91 14.25 13.72 -213.03
"SiII 1526" -96.36 43.04 -17.16 12.74 nan 13.13 -12.35
"CIV 1548" 1235.31 124.74 -342.72 218.71 14.65 13.82 -63.27
"CIV 1550" 2228.22 167.62 -910.8 185.48 15.2 14.22 -445.38
"FeII 1608" -64.88 43.23 -13.84 12.74 nan 13.42 5.84
