SL,Z,Transitions,EW,EWsig,Vmin,Vmax,N,Nsig,Vel
4,2.1813,SiIV 1393,330.33,113.7,-218.23,160.81,13.63,13.21,-64.3
4,2.1813,SiIV 1402,205.81,118.52,-144.07,284.41,13.7,13.48,15.37
4,2.1813,SiII 1526,700.89,106.88,-284.15,243.21,14.61,13.86,-13.4
4,2.1813,CIV 1548,470.55,105.84,-267.67,185.53,14.17,13.57,-24.15
4,2.1813,CIV 1550,285.84,103.65,-259.43,202.01,14.2,13.77,-49.01
4,2.1813,FeII 1608,634.9,96.77,-111.11,292.65,14.8,14.07,15.23
4,2.1813,AlII 1670,574.64,108.33,-69.91,202.01,13.28,12.7,4.43
3,2.2993,HI 1215,1220.55,170.41,-407.75,333.85,14.58,13.97,-55.74
4,2.2993,SiII 1260,506.67,167.5,-218.23,218.49,13.69,13.29,-67.23
4,2.2993,OI 1302,1594.13,196.77,-613.76,482.18,15.49,14.75,55.81
4,2.2993,SiII 1304,-111.94,64.55,-36.95,37.21,,13.52,-20.79
4,2.2993,CII 1334,-14.01,49.35,-45.19,45.45,,13.37,14.58
4,2.2993,SiIV 1393,161.02,145.51,-200,200,13.41,13.3,114.19
4,2.2993,SiIV 1402,588.97,134.74,-45.19,251.45,14.26,13.79,84.72
4,2.2993,SiII 1526,11.63,49.07,-45.19,45.45,12.69,13.32,-39.22
4,2.2993,CIV 1548,1758.15,158.47,-1025.76,200,14.74,13.77,-307.26
4,2.2993,CIV 1550,608.92,99.75,-127.59,342.09,14.6,13.88,45.64
4,2.2993,FeII 1608,-58.68,73.31,-78.15,78.41,,13.71,-73.33
4,2.2993,HI 1215,1381.47,158.6,-465.43,300.89,14.65,14.03,-64.24
4,2.3488,SiII 1260,-28.03,47.1,-12.23,28.97,,12.48,20.39
4,2.3488,OI 1302,524.02,159.36,-242.95,317.37,14.93,14.45,65.94
4,2.3488,SiII 1304,1228.31,175.74,-61.67,449.22,15.26,14.8,126.45
4,2.3488,CII 1334,-7,94.21,-135.83,94.89,,13.67,78.65
4,2.3488,SiIV 1393,295.06,104.11,-251.19,234.97,13.56,13.14,-74.38
4,2.3488,SiIV 1402,211.33,109.21,-168.79,276.17,13.71,13.44,110.14
4,2.3488,SiII 1526,2185.1,203.95,-1322.4,597.54,15.07,14.09,-463.95
4,2.3488,CIV 1548,1085.19,83.76,-200,200,14.59,13.66,-53.16
4,2.3488,CIV 1550,793.97,87.22,-200,200,14.72,13.87,-52.69
4,2.3488,FeII 1608,-97.35,97.57,-200,200,,13.84,-161.17
5,2.2993,HI 1215,1429.8,212.27,-495.91,329.68,14.67,14.12,-95.93
5,2.1813,SiII 1260,1320.62,232.72,-415.99,383.3,14.22,13.72,-17.93
5,2.1813,OI 1302,1866.82,280.51,-193.51,828.26,15.56,14.9,224.76
5,2.1813,SiII 1304,1514.29,311.4,-671.44,309.13,15.17,14.61,-287.63
5,2.1813,CII 1334,618.7,148.96,-160.55,177.29,14.77,14.47,-28.95
5,2.1813,SiIV 1393,1378.33,200.03,-102.87,721.14,14.34,13.64,265.9
5,2.1813,SiIV 1402,353.45,170.78,-160.55,375.06,13.96,13.66,68.9
5,2.1813,SiII 1526,704.87,130.29,-267.67,276.17,14.58,13.92,-18.41
5,2.1813,CIV 1548,780.33,121.84,-325.35,185.53,14.42,13.72,-59.86
5,2.1813,CIV 1550,159.94,97.3,-177.03,169.05,13.95,13.74,-51.55
5,2.1813,FeII 1608,625.49,118.69,-300.63,202.01,14.79,14.13,-8.6
5,2.1813,AlII 1670,879.28,166.85,-160.55,366.81,13.49,12.95,-3.49
6,2.2993,HI 1215,863.7,250.66,-262.99,308.4,14.38,14.01,-48.51
5,2.2993,SiII 1260,1519.9,257.81,-316.43,628.8,14.23,13.62,215.18
5,2.2993,OI 1302,1663.3,257.11,-567.7,527.1,15.54,14.97,53.97
5,2.2993,SiII 1304,-126.49,105.57,-29.27,60.46,,13.79,-20.79
5,2.2993,CII 1334,-19.42,83.11,-65.17,24.57,,13.6,14.58
5,2.2993,SiIV 1393,120.13,233.81,-142.94,335.66,13.21,13.46,159.9
5,2.2993,SiIV 1402,857.84,241.06,-65.17,305.75,14.55,14.3,71.47
5,2.2993,SiII 1526,-19.94,40.09,-35.26,30.55,,13.2,20.32
5,2.2993,CIV 1548,1718.59,157.25,-663.42,200,14.8,13.96,-291.36
5,2.2993,CIV 1550,529.79,92.57,-101.06,200,14.54,13.89,29.92
5,2.2993,FeII 1608,21.57,95.85,-130.98,72.43,13.3,13.87,-18.77
7,2.2993,HI 1215,832.46,230.76,-206.52,222.03,14.38,14.03,-52.22
5,2.3488,SiII 1260,-134.19,111.87,-29.27,216.01,,12.84,20.39
5,2.3488,OI 1302,376.26,190.17,-304.47,221.99,14.76,14.5,-56.04
5,2.3488,SiII 1304,1273.01,224.77,-130.98,419.42,15.22,14.76,90.86
5,2.3488,CII 1334,-12.65,55.61,-17.31,36.53,,13.42,11.55
5,2.3488,SiIV 1393,161.59,94.17,-130.98,66.45,13.34,13.14,-70.7
5,2.3488,SiIV 1402,428.02,157.09,-448.05,114.31,14.05,13.64,-286.43
5,2.3488,SiII 1526,540.4,122.58,-47.22,473.26,14.47,13.86,250.33
5,2.3488,CIV 1548,1788.84,179.57,-430.1,640.77,14.75,13.84,31.97
5,2.3488,CIV 1550,1956.6,177.06,-1022.37,180.11,15.1,14.15,-464.71
5,2.3488,FeII 1608,-20.99,41.66,-11.33,6.62,,13.46,5.84
2,2.3488,HI 1215,2090.58,314.98,-828,284.41,14.78,14.15,-219.46
6,2.1813,SiII 1260,2070.64,285.29,-409.17,919.66,14.33,13.66,124.99
6,2.1813,OI 1302,687.35,242.65,-96.89,321.69,15.14,14.82,32.09
6,2.1813,SiII 1304,704.3,329.81,-259.67,278.5,14.84,14.58,19.16
6,2.1813,CII 1334,865.99,158.49,-163.33,248.6,14.81,14.27,8.2
6,2.1813,SiIV 1393,271.67,162.56,-259.67,152.26,13.54,13.34,-33.78
6,2.1813,SiIV 1402,187.08,177.42,-229.77,235.32,13.71,13.66,67.6
6,2.1813,SiII 1526,628.57,144.35,-286.25,205.42,14.56,14.01,-11.42
6,2.1813,CIV 1548,710.42,137.59,-226.45,200,14.38,13.77,-7.54
6,2.1813,CIV 1550,255.13,101.73,-183.27,95.79,14.15,13.8,-47.99
6,2.1813,FeII 1608,354.41,93.57,-76.96,200,14.51,14,16.68
6,2.1813,AlII 1670,532.53,116.38,-93.57,165.55,13.23,12.73,-7.25
3,2.3488,HI 1215,1919.85,214.76,-712.64,200,14.75,14.05,-213.11
6,2.2993,SiII 1260,972.37,163.4,-223.13,200,14.06,13.58,-69
6,2.2993,OI 1302,831.55,181.34,-50.38,408.06,15.34,15.07,128.81
6,2.2993,SiII 1304,-122.58,127.34,-23.81,178.84,,13.9,-20.79
6,2.2993,CII 1334,-38.49,65.02,-30.45,19.38,,13.46,14.58
6,2.2993,SiIV 1393,83.25,154.32,-53.7,122.37,13.02,13.29,-8.33
6,2.2993,SiIV 1402,471.65,285.39,-47.06,265.21,14.17,14.09,48.44
6,2.2993,SiII 1526,99.13,88.12,-93.57,188.81,13.64,13.6,32.38
6,2.2993,CIV 1548,1953.88,199.33,-1073.58,200,14.79,13.89,-355.4
6,2.2993,CIV 1550,339.66,90.44,-43.74,218.71,14.31,13.81,47.15
6,2.2993,FeII 1608,43.58,83.85,29.35,200,13.53,13.82,93.02
4,2.3488,HI 1215,2107.24,209.04,-770.32,234.97,14.81,14.07,-219.9
